Record ID,Deal Name,Amount,Deal Stage,Close Date,Deal Owner,Associated Contact IDs,Associated Company IDs,Last Activity Date,Create Date,Pipeline,Enter Stage Date
D001,Pinnacle Platform Deal,45000,Closed Won,2026-06-15,Alice Johnson,1013,C008,2026-06-15,2025-11-10,Default Pipeline,2026-06-01
D002,Global Retail Expansion,120000,Decision Maker Bought-In,2026-09-30,Alice Johnson,1034,C003,2026-04-01,2025-08-15,Default Pipeline,2026-03-20
D003,Media Inc Platform Deal,85000,Presentation Scheduled,2026-10-15,Bob Martinez,1033,C004,2026-03-15,2025-09-20,Default Pipeline,2026-03-10
D004,Apex Industries Partnership,200000,Presentation Scheduled,2026-10-31,Alice Johnson,1028,C010,2026-07-20,2025-10-15,Default Pipeline,2026-02-15
D005,Summit Analytics Contract,75000,Qualified to Buy,2026-09-15,Carol Kim,1048,C012,2026-07-15,2025-11-20,Default Pipeline,2026-03-01
D006,NorthStar Annual Renewal,55000,Contract Sent,2026-06-01,Alice Johnson,1023,C005,2026-07-25,2025-12-10,Default Pipeline,2026-05-20
D007,Coastal Dynamics Pilot,30000,Qualified to Buy,2026-05-15,Bob Martinez,1047,C013,2026-07-10,2026-01-05,Default Pipeline,2026-04-20
D008,Iron Gate Initial Package,90000,Decision Maker Bought-In,2026-07-01,Carol Kim,1049,C014,2026-07-18,2025-12-20,Default Pipeline,2026-06-15
D009,Vantage Enterprise Deal,,Appointment Scheduled,2026-11-15,Alice Johnson,1031,C015,2026-07-29,2026-02-10,Default Pipeline,2026-07-20
D010,TechFirm Upgrade,40000,Qualified to Buy,2026-10-30,,1021,C007,2026-07-30,2026-02-25,Default Pipeline,2026-07-01
D011,StartupCo Growth Package,25000,Presentation Scheduled,,Alice Johnson,1022,C006,2026-07-25,2026-03-12,Default Pipeline,2026-07-10
D012,Horizon Annual License,110000,Contract Sent,2026-12-01,Bob Martinez,,C011,2026-07-28,2025-11-15,Default Pipeline,2026-07-15
D013,Redwood Capital Solution,150000,Appointment Scheduled,2026-11-30,Alice Johnson,1020,C009,2026-07-28,2026-03-20,Default Pipeline,2026-07-15
D014,ACME Corp Renewal,65000,Qualified to Buy,2026-10-15,Alice Johnson,1025,C001,2026-07-30,2026-03-05,Default Pipeline,2026-07-10
D015,Pinnacle Systems Expansion,95000,Presentation Scheduled,2026-11-15,Alice Johnson,1026,C008,2026-07-25,2026-04-10,Default Pipeline,2026-07-20
D016,Tech Ventures Growth,80000,Presentation Scheduled,2026-12-01,Bob Martinez,1045,C002,2026-07-28,2026-04-22,Default Pipeline,2026-07-18
D017,Coastal Dynamics Full Deployment,135000,Qualified to Buy,2026-11-30,Carol Kim,1048,C013,2026-07-29,2026-03-15,Default Pipeline,2026-07-05
D018,NorthStar Expansion,70000,Presentation Scheduled,2026-10-30,Alice Johnson,1027,C005,2026-07-22,2026-04-18,Default Pipeline,2026-07-15
D019,Vantage Pilot Program,45000,Appointment Scheduled,2026-12-15,Carol Kim,1049,C015,2026-07-30,2026-05-10,Default Pipeline,2026-07-22
D020,Summit Full Platform,180000,Presentation Scheduled,2026-12-31,Alice Johnson,1028,C010,2026-07-26,2026-05-20,Default Pipeline,2026-07-18
